a,b,c,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0
-0.3643431245028319,-0.3643431245028319,-0.5417670012665532,0.0,0.0,0.0
-0.06349134912799492,-0.06349134912799492,-0.10397475040868898,0.0,0.0,0.0
-0.05688659770566318,-0.05688659770566318,-0.07291958404080834,0.0,0.0,0.0
-0.042019896409415836,-0.04201989640941495,-0.09575317214954815,0.0,0.0,0.0
-0.05133988018105207,-0.05133988018105118,-0.09169538185259452,0.0,0.0,0.0
-0.05507791636927095,-0.05507791636927095,-0.08990904825104895,0.0,0.0,0.0
-0.057625394560912646,-0.05762539456091176,-0.0896072799443024,0.0,0.0,0.0
-0.0572357797108376,-0.05723577971083671,-0.08868752228034271,0.0,0.0,0.0
-0.05706769296702596,-0.057067692967025074,-0.08509113093422815,0.0,0.0,0.0
-0.05821641679464307,-0.05821641679464218,-0.07921473373778376,0.0,0.0,0.0
-0.060220109633743135,-0.06022010963374225,-0.07329621566253053,0.0,0.0,0.0
-0.06150277690213368,-0.061502776902132794,-0.07059277208322445,0.0,0.0,0.0
-0.06203451601288812,-0.06203451601288723,-0.06978976042634155,0.0,0.0,0.0
-0.06180967498206069,-0.061809674982059803,-0.07041105892009814,0.0,0.0,0.0
-0.061133860998152656,-0.06113386099815177,-0.07171083716085125,0.0,0.0,0.0
-0.06070173412738544,-0.060701734127384555,-0.07256303167034073,0.0,0.0,0.0
-0.06059477850306383,-0.06059477850306294,-0.07298648877455793,0.0,0.0,0.0
-0.060836248167749574,-0.060836248167748685,-0.07308748359580264,0.0,0.0,0.0
-0.061324381306329556,-0.06132438130632867,-0.07279850973388058,0.0,0.0,0.0
-0.061643411095131384,-0.06164341109513227,-0.07249542157035549,0.0,0.0,0.0
-0.06173750679564094,-0.06173750679564183,-0.07237203496974676,0.0,0.0,0.0
-0.061790084032782744,-0.061790084032782744,-0.07228650756916011,0.0,0.0,0.0
-0.06181729121448942,-0.06181729121448942,-0.0722284523633272,0.0,0.0,0.0
-0.061804168226132106,-0.061804168226132106,-0.07223633443400246,0.0,0.0,0.0
-0.06178685799685102,-0.06178685799685102,-0.07226054803246296,0.0,0.0,0.0
-0.06178254507765413,-0.06178254507765413,-0.07226767536462475,0.0,0.0,0.0
